,GLd,QLd,SpToutHdr,Tair,RH
2018/8/21 10:15,0.04448,2.455028,7,28.025,85
2018/8/21 10:30,0.05255,2.863796,7,29.025,84.916667
2018/8/21 10:45,0.05226,2.920876,7,30.125,80.416667
2018/8/21 11:00,0.04728,2.691992,7,29.9,77.25
2018/8/21 11:15,0.04987,2.656888,7,29.891667,77.75
2018/8/21 11:30,0.04993,2.740164,7,29.408333,79
2018/8/21 11:45,0.04987,2.750784,7,30.191667,74
2018/8/21 12:00,0.0536,2.9341,7,31.1,69.25
2018/8/21 12:15,0.04702,2.670632,7,31.041667,70.916667
2018/8/21 12:30,0.04952,2.8109,7,31.683333,67.083333
2018/8/21 12:45,0.05344,2.960744,7,31.816667,64.416667
2018/8/21 13:00,0.04728,2.690344,7,32.058333,63.916667
2018/8/21 13:15,0.04712,2.661528,7,31.783333,64.833333
2018/8/21 13:30,0.04151,2.472016,7,31.95,57.083333
2018/8/21 13:45,0.04508,2.66104,7,32.2,62.583333
2018/8/21 14:00,0.04554,2.696132,7,32.1,63.5
2018/8/21 14:15,0.04581,2.708924,7,32.1,63.333333
2018/8/21 14:30,0.04349,2.558084,7,32.1,56.25
2018/8/21 14:45,0.04163,2.357236,7,32.008333,56.583333
2018/8/21 15:00,0.03668,2.240648,7,31.983333,55.75
2018/8/21 15:15,0.04987,2.801208,7,31.85,55.166667
2018/8/21 15:30,0.03573,2.28228,7,31.741667,54.25
2018/8/21 15:45,0.04249,2.591116,7,31.625,55.666667
2018/8/21 16:00,0.03661,2.305304,7,31.6,55.666667
2018/8/21 16:15,0.03687,2.286964,7,31.4,56.666667
2018/8/21 16:30,0.03653,2.26078,7,31.208333,58.083333
2018/8/21 16:45,0.03666,2.262436,7,30.9,60.083333
2018/8/21 17:00,0.03644,2.228528,7,30.575,59.583333
2018/8/21 17:15,0.03629,2.232008,7,30.341667,59
2018/8/21 17:30,0.03372,2.13508,7,30.033333,61
2018/8/21 17:45,0.03344,2.09986,7,29.775,63.083333
2018/8/21 18:00,0,0,7,29.275,67.75
2018/8/21 18:15,0,0,7,28.791667,51
2018/8/21 18:30,0,0,7,28.508333,51.166667
2018/8/21 18:45,0,0,7,28.241667,54.5
2018/8/21 19:00,0,0,7,28.041667,57
2018/8/21 19:15,0,0,7,27.875,61.25
2018/8/21 19:30,0,0,7,27.683333,65.333333
2018/8/21 19:45,0,0,7,27.508333,70
2018/8/21 20:00,0,0,7,27.4,73
2018/8/21 20:15,0,0,7,27.316667,76
2018/8/21 20:30,0,0,7,27.225,78
2018/8/21 20:45,0,0,7,27.208333,81
2018/8/21 21:00,0,0,7,27.108333,79
2018/8/21 21:15,0,0,7,27.133333,82
2018/8/21 21:30,0,0,7,27.108333,83
2018/8/21 21:45,0,0,7,27.108333,82
2018/8/21 22:00,0,0,7,27.116667,82
2018/8/21 22:15,0,0,7,27.108333,82
2018/8/21 22:30,0,0,7,27.116667,83
2018/8/21 22:45,0,0,7,27.116667,84
2018/8/21 23:00,0,0,7,27.116667,84
2018/8/21 23:15,0,0,7,27.116667,84.083333
2018/8/21 23:30,0,0,7,27.1,85
2018/8/21 23:45,0,0,7,27.108333,86
2018/8/22 0:00,0,0,7,27.125,86
2018/8/22 0:15,0,0,7,27.125,85
2018/8/22 0:30,0,0,7,27.1,85
2018/8/22 0:45,0,0,7,27.166667,85
2018/8/22 1:00,0,0,7,27.2,86.083333
2018/8/22 1:15,0,0,7,27.183333,87
2018/8/22 1:30,0,0,7,27.2,86
2018/8/22 1:45,0,0,7,27.208333,86
2018/8/22 2:00,0,0,7,27.208333,87
2018/8/22 2:15,0,0,7,27.2,86
2018/8/22 2:30,0,0,7,27.216667,86
2018/8/22 2:45,0,0,7,27.241667,87
2018/8/22 3:00,0,0,7,27.241667,87
2018/8/22 3:15,0,0,7,27.291667,87
2018/8/22 3:30,0,0,7,27.291667,87
2018/8/22 3:45,0,0,7,27.283333,87
2018/8/22 4:00,0,0,7,27.3,87
2018/8/22 4:15,0,0,7,27.3,87
2018/8/22 4:30,0,0,7,27.325,87
2018/8/22 4:45,0,0,7,27.3,88
2018/8/22 5:00,0,0,7,27.308333,88
2018/8/22 5:15,0,0,7,27.325,87.666667
2018/8/22 5:30,0,0,7,27.325,87
2018/8/22 5:45,0,0,7,27.333333,87
2018/8/22 6:00,0,0,7,27.375,87
2018/8/22 6:15,0,0,7,27.391667,87
2018/8/22 6:30,0,0,7,27.4,87
2018/8/22 6:45,0,0,7,27.4,88
2018/8/22 7:00,0,0,7,27.416667,88
2018/8/22 7:15,0,0,7,27.458333,89
2018/8/22 7:30,0,0,7,27.5,89
2018/8/22 7:45,0,0,7,27.533333,89
2018/8/22 8:00,0,0,7,27.583333,89
2018/8/22 8:15,0,0,7,27.6,89
2018/8/22 8:30,0,0,7,27.608333,89
2018/8/22 8:45,0,0,7,27.675,89
2018/8/22 9:00,0.14485,1.797956,7,27.758333,88.166667
2018/8/22 9:15,0.19164,6.675168,7,29.541667,81
2018/8/22 9:30,0.18912,6.171968,7,30.158333,79
2018/8/22 9:45,0.18755,6.04226,7,30.725,77.083333
2018/8/22 10:00,0.18675,5.7951,7,30.9,72.583333
2018/8/22 10:15,0.18617,5.621316,7,31.341667,75.166667
2018/8/22 10:30,0.18595,5.1738,7,31.508333,71.416667
2018/8/22 10:45,0.18532,5.279036,7,31.683333,71.5
2018/8/22 11:00,0.18479,5.096424,7,32.1,68.833333
2018/8/22 11:15,0.18417,5.143536,7,32.3,69.166667
2018/8/22 11:30,0.18402,5.081604,7,32.525,69.916667
2018/8/22 11:45,0.18377,4.786364,7,32.5,65.583333
2018/8/22 12:00,0.1836,4.749928,7,32.8,63.166667
2018/8/22 12:15,0.18366,4.687444,7,32.741667,63.166667
2018/8/22 12:30,0.18355,4.671836,7,33.091667,61.833333
2018/8/22 12:45,0.18319,4.675448,7,33.1,62.666667
2018/8/22 13:00,0.1835,4.696156,7,33.4,64.75
2018/8/22 13:15,0.18354,4.68438,7,33.516667,61.333333
2018/8/22 13:30,0.18318,4.751836,7,33.616667,66.083333
2018/8/22 13:45,0.18297,4.740008,7,33.425,63.166667
2018/8/22 14:00,0.18311,4.75002,7,33.575,63.833333
2018/8/22 14:15,0.18273,4.619108,7,33.383333,64
2018/8/22 14:30,0.1826,4.654024,7,33.225,62
2018/8/22 14:45,0.18252,4.664712,7,33.208333,62.916667
2018/8/22 15:00,0.18241,4.68098,7,33.05,62
2018/8/22 15:15,0.18182,4.640484,7,32.9,59.416667
2018/8/22 15:30,0.18191,4.604724,7,32.591667,58
2018/8/22 15:45,0.18189,4.566168,7,32.5,59.25
2018/8/22 16:00,0.1818,4.411776,7,32.4,58.083333
2018/8/22 16:15,0.18193,4.319784,7,32.3,57
2018/8/22 16:30,0.1818,4.329372,7,32.1,57.416667
2018/8/22 16:45,0.18182,4.386904,7,31.9,59
2018/8/22 17:00,0.18167,4.364284,7,31.8,60
2018/8/22 17:15,0.18157,4.304904,7,31.625,60
2018/8/22 17:30,0.18121,4.334276,7,31.4,62.5
2018/8/22 17:45,0.18137,4.407664,7,31.1,67
2018/8/22 18:00,0.03036,0.519748,7,30.708333,70.5
2018/8/22 18:15,0,0,7,29.958333,46.166667
2018/8/22 18:30,0,0,7,29.408333,45.5
2018/8/22 18:45,0,0,7,29,46.5
2018/8/22 19:00,0,0,7,28.616667,49.916667
2018/8/22 19:15,0,0,7,28.4,57.416667
2018/8/22 19:30,0,0,7,28.2,63.416667
2018/8/22 19:45,0,0,7,28,61.583333
2018/8/22 20:00,0,0,7,27.891667,64.666667
2018/8/22 20:15,0,0,7,27.733333,62.166667
2018/8/22 20:30,0,0,7,27.608333,63.166667
2018/8/22 20:45,0,0,7,27.491667,60.333333
2018/8/22 21:00,0,0,7,27.4,65
2018/8/22 21:15,0,0,7,27.383333,66
2018/8/22 21:30,0,0,7,27.3,68.75
2018/8/22 21:45,0,0,7,27.291667,71
2018/8/22 22:00,0,0,7,27.258333,73.333333
2018/8/22 22:15,0,0,7,27.183333,72.083333
2018/8/22 22:30,0,0,7,27.2,75.833333
2018/8/22 22:45,0,0,7,27.125,76
2018/8/22 23:00,0,0,7,27.183333,77.25
2018/8/22 23:15,0,0,7,27.166667,76
2018/8/22 23:30,0,0,7,27.191667,76
2018/8/22 23:45,0,0,7,27.25,77.166667
2018/8/23 0:00,0,0,7,27.275,79.666667
2018/8/23 0:15,0,0,7,27.216667,78
2018/8/23 0:30,0,0,7,27.2,79
2018/8/23 0:45,0,0,7,27.208333,78.083333
2018/8/23 1:00,0,0,7,27.208333,76.416667
2018/8/23 1:15,0,0,7,27.291667,76.083333
2018/8/23 1:30,0,0,7,27.3,76.666667
2018/8/23 1:45,0,0,7,27.341667,78
2018/8/23 2:00,0,0,7,27.358333,77
2018/8/23 2:15,0,0,7,27.341667,77
2018/8/23 2:30,0,0,7,27.391667,77
2018/8/23 2:45,0,0,7,27.4,78
2018/8/23 3:00,0,0,7,27.408333,81.833333
2018/8/23 3:15,0,0,7,27.4,79
2018/8/23 3:30,0,0,7,27.4,79.833333
2018/8/23 3:45,0,0,7,27.425,80
2018/8/23 4:00,0,0,7,27.433333,83
2018/8/23 4:15,0,0,7,27.5,84.416667
2018/8/23 4:30,0,0,7,27.441667,86.166667
2018/8/23 4:45,0,0,7,27.416667,87
2018/8/23 5:00,0,0,7,27.45,87
2018/8/23 5:15,0,0,7,27.466667,86.416667
2018/8/23 5:30,0,0,7,27.433333,86
2018/8/23 5:45,0,0,7,27.491667,87
2018/8/23 6:00,0,0,7,27.458333,87
2018/8/23 6:15,0,0,7,27.5,88
2018/8/23 6:30,0,0,7,27.458333,84
2018/8/23 6:45,0,0,7,27.575,85.583333
2018/8/23 7:00,0,0,7,27.6,89
2018/8/23 7:15,0,0,7,27.591667,84
2018/8/23 7:30,0,0,7,27.691667,85.166667
2018/8/23 7:45,0,0,7,27.7,87
2018/8/23 8:00,0,0,7,27.8,88
2018/8/23 8:15,0,0,7,27.825,86.75
2018/8/23 8:30,0,0,7,27.9,86.416667
2018/8/23 8:45,0,0,7,27.916667,85
2018/8/23 9:00,0.15463,2.048744,7,28.183333,86.916667
2018/8/23 9:15,0.17754,6.834012,7,29.908333,76
2018/8/23 9:30,0.1773,6.231316,7,30.208333,76
2018/8/23 9:45,0.17697,6.139504,7,30.475,75
2018/8/23 10:00,0.1769,5.976708,7,30.591667,74.333333
2018/8/23 10:15,0.17685,5.919524,7,30.8,75
2018/8/23 10:30,0.17682,5.764392,7,31.325,71.333333
2018/8/23 10:45,0.17678,5.362444,7,31.825,71
2018/8/23 11:00,0.17661,5.351132,7,31.4,73
2018/8/23 11:15,0.17651,5.366564,7,32.2,68
2018/8/23 11:30,0.17616,5.306784,7,31.483333,70.916667
2018/8/23 11:45,0.17617,5.34394,7,31.908333,70.333333
2018/8/23 12:00,0.17613,5.373432,7,31.858333,70.833333
2018/8/23 12:15,0.17616,5.306784,7,32.558333,67.25
2018/8/23 12:30,0.17602,5.388488,7,32.3,69.333333
2018/8/23 12:45,0.17636,5.380448,7,32.675,69.166667
2018/8/23 13:00,0.176,5.375604,7,32.575,69
2018/8/23 13:15,0.17607,5.38388,7,32.458333,71
2018/8/23 13:30,0.17606,5.4511,7,32.175,70.333333
2018/8/23 13:45,0.17579,5.393704,7,32.008333,71
2018/8/23 14:00,0.17584,5.382976,7,32.1,73.166667
2018/8/23 14:15,0.17568,5.365828,7,32.6,70
2018/8/23 14:30,0.17545,5.426096,7,31.9,72.5
2018/8/23 14:45,0.1757,5.188784,7,31.35,73
2018/8/23 15:00,0.17561,5.075912,7,31.391667,74.5
2018/8/23 15:15,0.17579,5.074988,7,31.275,74.25
2018/8/23 15:30,0.1755,5.066616,7,30.908333,74.166667
2018/8/23 15:45,0.1756,4.996032,7,30.808333,76
2018/8/23 16:00,0.17577,4.859912,7,31.325,74
2018/8/23 16:15,0.17568,4.924804,7,31.466667,72.166667
2018/8/23 16:30,0.17528,4.913588,7,30.8,75
2018/8/23 16:45,0.17577,4.927324,7,30.583333,75.583333
2018/8/23 17:00,0.17567,4.961272,7,30.55,75
2018/8/23 17:15,0.17545,4.967292,7,30.3,76.333333
2018/8/23 17:30,0.17549,4.937832,7,30,78
2018/8/23 17:45,0.17563,4.862164,7,29.8,78
2018/8/23 18:00,0.02302,0.431816,7,29.5,79.25
2018/8/23 18:15,0,0,7,28.291667,35
2018/8/23 18:30,0,0,7,27.4,45.666667
2018/8/23 18:45,0,0,7,26.7,57.583333
2018/8/23 19:00,0,0,7,26.458333,69
2018/8/23 19:15,0,0,7,26.183333,75
2018/8/23 19:30,0,0,7,26.091667,82.833333
2018/8/23 19:45,0,0,7,26.033333,82
2018/8/23 20:00,0,0,7,26.091667,85.416667
2018/8/23 20:15,0,0,7,26.2,87
2018/8/23 20:30,0,0,7,26.241667,88
2018/8/23 20:45,0,0,7,26.375,90
2018/8/23 21:00,0,0,7,26.491667,91
2018/8/23 21:15,0,0,7,26.575,91
2018/8/23 21:30,0,0,7,26.641667,91
2018/8/23 21:45,0,0,7,26.708333,90.416667
2018/8/23 22:00,0,0,7,26.8,91
2018/8/23 22:15,0,0,7,26.891667,91
2018/8/23 22:30,0,0,7,26.925,90
2018/8/23 22:45,0,0,7,27,90
2018/8/23 23:00,0,0,7,27.05,90
2018/8/23 23:15,0,0,7,27.1,90
2018/8/23 23:30,0,0,7,27.108333,90
2018/8/23 23:45,0,0,7,27.158333,90
2018/8/24 0:00,0,0,7,27.208333,90
2018/8/24 0:15,0,0,7,27.241667,90
2018/8/24 0:30,0,0,7,27.308333,90
2018/8/24 0:45,0,0,7,27.316667,90
2018/8/24 1:00,0,0,7,27.366667,89
2018/8/24 1:15,0,0,7,27.4,89
2018/8/24 1:30,0,0,7,27.4,89
2018/8/24 1:45,0,0,7,27.4,88
2018/8/24 2:00,0,0,7,27.408333,88
2018/8/24 2:15,0,0,7,27.416667,88
2018/8/24 2:30,0,0,7,27.483333,88
2018/8/24 2:45,0,0,7,27.5,88
2018/8/24 3:00,0,0,7,27.508333,88
2018/8/24 3:15,0,0,7,27.541667,88
2018/8/24 3:30,0,0,7,27.566667,87
2018/8/24 3:45,0,0,7,27.591667,87
2018/8/24 4:00,0,0,7,27.6,86
2018/8/24 4:15,0,0,7,27.6,86
2018/8/24 4:30,0,0,7,27.6,86
2018/8/24 4:45,0,0,7,27.6,85
2018/8/24 5:00,0,0,7,27.6,85
2018/8/24 5:15,0,0,7,27.675,85
2018/8/24 5:30,0,0,7,27.691667,84.5
2018/8/24 5:45,0,0,7,27.7,84
2018/8/24 6:00,0,0,7,27.7,84
2018/8/24 6:15,0,0,7,27.708333,85
2018/8/24 6:30,0,0,7,27.783333,85
2018/8/24 6:45,0,0,7,27.8,86
2018/8/24 7:00,0,0,7,27.8,87
2018/8/24 7:15,0,0,7,27.8,87
2018/8/24 7:30,0,0,7,27.825,87
2018/8/24 7:45,0,0,7,27.866667,89
2018/8/24 8:00,0,0,7,27.816667,89
2018/8/24 8:15,0,0,7,27.8,88
2018/8/24 8:30,0,0,7,27.8,88
2018/8/24 8:45,0,0,7,27.85,88
2018/8/24 9:00,0.16023,2.262608,7,27.9,90
2018/8/24 9:15,0.177,7.109452,7,28.2,89
2018/8/24 9:30,0.17707,6.464012,7,28.4,88.083333
2018/8/24 9:45,0.17694,6.354388,7,28.783333,86.666667
2018/8/24 10:00,0.17647,6.269828,7,28.7,86.333333
2018/8/24 10:15,0.1763,6.15314,7,28.7,87
2018/8/24 10:30,0.17621,5.713784,7,28.416667,88
2018/8/24 10:45,0.17594,5.594612,7,28.85,84.083333
2018/8/24 11:00,0.17599,5.381432,7,29.183333,85.583333
2018/8/24 11:15,0.17605,5.303472,7,28.9,87
2018/8/24 11:30,0.17599,5.228028,7,29.308333,83.833333
2018/8/24 11:45,0.17587,5.451348,7,29.9,81.25
2018/8/24 12:00,0.17599,5.234164,7,29.5,84
2018/8/24 12:15,0.17613,5.232188,7,29.3,84
2018/8/24 12:30,0.17599,5.191212,7,29.9,83.5
2018/8/24 12:45,0.17552,5.556776,7,29.841667,79.5
2018/8/24 13:00,0.17578,5.319852,7,30.091667,79
2018/8/24 13:15,0.17566,5.457088,7,30.1,78
2018/8/24 13:30,0.17552,4.975396,7,29.8,79.25
2018/8/24 13:45,0.1756,4.996032,7,29.625,80.583333
2018/8/24 14:00,0.17557,5.062516,7,30.1,79
2018/8/24 14:15,0.17547,5.065748,7,30.325,79.666667
2018/8/24 14:30,0.17534,5.031428,7,30.4,78
2018/8/24 14:45,0.17534,5.055884,7,30.541667,76.25
2018/8/24 15:00,0.17558,5.001584,7,30.325,77
2018/8/24 15:15,0.17547,5.02904,7,30.258333,76.75
2018/8/24 15:30,0.17526,5.029132,7,30.066667,77.166667
2018/8/24 15:45,0.17544,4.99148,7,29.75,77.75
2018/8/24 16:00,0.17517,4.989904,7,29.55,80
2018/8/24 16:15,0.17551,5.017948,7,29.591667,79.916667
2018/8/24 16:30,0.17508,5.04228,7,29.608333,79
2018/8/24 16:45,0.17512,4.982376,7,29.4,79.166667
2018/8/24 17:00,0.17511,5.018724,7,29.3,80
2018/8/24 17:15,0.17538,5.008116,7,29.2,81
2018/8/24 17:30,0.17487,5.030136,7,29.091667,82
2018/8/24 17:45,0.17451,5.025864,7,28.983333,82
2018/8/24 18:00,0.01457,0.2864,7,28.7,82
2018/8/24 18:15,0,0,7,27.991667,35.916667
2018/8/24 18:30,0,0,7,27.566667,41.666667
2018/8/24 18:45,0,0,7,27.2,48
2018/8/24 19:00,0,0,7,26.908333,58.25
2018/8/24 19:15,0,0,7,26.7,61
2018/8/24 19:30,0,0,7,26.633333,67
2018/8/24 19:45,0,0,7,26.608333,72
2018/8/24 20:00,0,0,7,26.566667,72.583333
2018/8/24 20:15,0,0,7,26.566667,76
2018/8/24 20:30,0,0,7,26.583333,78.5
2018/8/24 20:45,0,0,7,26.6,78
2018/8/24 21:00,0,0,7,26.633333,79
2018/8/24 21:15,0,0,7,26.691667,78
2018/8/24 21:30,0,0,7,26.8,79
2018/8/24 21:45,0,0,7,26.8,79
2018/8/24 22:00,0,0,7,26.891667,80.75
2018/8/24 22:15,0,0,7,26.883333,81
2018/8/24 22:30,0,0,7,26.908333,81
2018/8/24 22:45,0,0,7,26.966667,81
2018/8/24 23:00,0,0,7,27,81
2018/8/24 23:15,0,0,7,27.075,81
2018/8/24 23:30,0,0,7,27.1,80
2018/8/24 23:45,0,0,7,27.125,79.166667
2018/8/25 0:00,0,0,7,27.275,81.833333
